신고번호,우범여부,핵심적발
982834,0,0
828961,0,0
522066,0,0
999547,0,0
919320,0,0
792304,0,0
778082,0,0
624568,0,0
649243,0,0
834543,0,0
919935,0,0
566130,0,0
706025,0,0
810143,0,0
578525,0,0
595967,0,0
735139,0,0
527587,0,0
733081,0,0
822329,0,0
963859,0,0
816394,0,0
787545,0,0
650933,0,0
918960,0,0
643404,0,0
665925,0,0
908960,0,0
677796,0,0
736023,0,0
683003,0,0
969843,0,0
666581,0,0
760464,0,0
570682,0,0
625157,0,0
613569,1,1
936274,0,0
583102,0,0
909308,0,0
957074,0,0
964740,0,0
987571,0,0
842174,0,0
698930,0,0
893729,0,0
743690,0,0
584614,0,0
706433,0,0
549206,0,0
811467,0,0
920364,0,0
973601,0,0
522894,0,0
996109,0,0
994777,0,0
773920,0,0
663237,0,0
714944,0,0
971681,0,0
734982,0,0
909301,0,0
927429,0,0
949164,0,0
915697,0,0
980874,0,0
536558,0,0
521805,0,0
607696,0,0
658768,0,0
911062,0,0
827632,0,0
847912,0,0
604879,0,0
740963,0,0
894325,0,0
555581,0,0
877155,0,0
839653,0,0
589954,0,0
710448,0,0
875270,0,0
624008,0,0
540534,0,0
966438,0,0
595433,0,0
899177,0,0
675459,0,0
877427,0,0
718528,0,0
645427,0,0
988166,0,0
540955,0,0
975449,0,0
858750,0,0
518749,0,0
649097,0,0
769131,0,0
555832,0,0
951150,0,0
599473,0,0
822354,0,0
838366,0,0
937956,0,0
728405,0,0
617057,0,0
645488,0,0
977588,0,0
851932,0,0
540636,0,0
762426,0,0
672074,0,0
963374,0,0
946416,0,0
841909,0,0
674741,0,0
942513,0,0
581350,0,0
894073,0,0
988937,0,0
670906,0,0
676427,0,0
517307,0,0
546912,0,0
858587,0,0
780413,0,0
704981,0,0
603460,0,0
691668,0,0
745343,0,0
586786,0,0
905387,0,0
939484,0,0
744596,0,0
948568,0,0
588582,0,0
692265,0,0
774307,0,0
943113,0,0
569063,0,0
910894,0,0
636247,0,0
780610,0,0
520143,0,0
954784,0,0
995017,0,0
742246,0,0
537187,0,0
798907,0,0
911086,0,0
559433,0,0
570283,0,0
845623,0,0
967365,0,0
632317,0,0
946440,0,0
876418,0,0
852368,0,0
968155,0,0
588799,0,0
848907,0,0
614334,0,0
671555,0,0
526175,0,0
877228,0,0
618165,0,0
629247,0,0
960108,0,0
927163,0,0
614998,0,0
994780,0,0
744049,0,0
670578,0,0
529774,0,0
926227,0,0
603768,0,0
634217,0,0
761815,0,0
899950,0,0
866674,0,0
522749,0,0
910609,0,0
534705,0,0
757725,0,0
631187,0,0
836774,0,0
680049,0,0
649219,0,0
543955,0,0
838473,0,0
809365,0,0
642596,0,0
840897,0,0
675911,0,0
705647,0,0
640720,0,0
743404,0,0
611660,0,0
759625,0,0
638430,0,0
847549,0,0
748507,0,0
800419,0,0
585663,0,0
843029,0,0
603110,0,0
552867,0,0
890258,0,0
605121,0,0
802607,0,0
810635,0,0
779628,0,0
794176,0,0
915536,0,0
567580,0,0
890745,0,0
758626,0,0
850678,0,0
902522,0,0
942122,0,0
962586,0,0
515457,0,0
838423,0,0
741502,0,0
900495,0,0
727654,0,0
582638,0,0
962678,0,0
762225,0,0
748137,0,0
927070,0,0
703162,0,0
708814,0,0
711603,0,0
813125,0,0
619995,0,0
644593,0,0
649583,0,0
790635,0,0
718423,0,0
984119,0,0
884466,0,0
577216,1,1
749085,0,0
641831,0,0
735747,0,0
627469,0,0
656518,0,0
608578,0,0
979595,0,0
725993,0,0
