,신고번호,우범여부,핵심적발
0,56458804,0,0
1,64425212,0,0
2,47734257,0,0
3,95067668,1,2
4,52721308,0,0
5,91698990,0,0
6,48549863,0,0
7,60224493,0,0
8,60559428,0,0
9,40690430,1,2
10,75019302,0,0
11,65973895,0,0
12,85717344,0,0
13,60978496,0,0
14,57488081,0,0
15,39527130,0,0
16,40281894,0,0
17,65606153,0,0
18,94236388,0,0
19,25475902,0,0
20,58593589,0,0
21,72309459,0,0
22,14442098,0,0
23,41237813,0,0
24,27939224,0,0
25,21566003,0,0
26,83326777,0,0
27,31646420,0,0
28,20245267,0,0
29,62556478,0,0
30,94038542,0,0
31,16673164,0,0
32,65219363,0,0
33,91663111,0,0
34,90586323,0,0
35,54604260,0,0
36,46392935,0,0
37,94439393,0,0
38,70861409,0,0
39,18677994,0,0
40,69421444,0,0
41,82722426,0,0
42,85813623,1,2
43,24128559,1,2
44,45202436,0,0
45,18623746,0,0
46,86072527,0,0
47,87506637,0,0
48,11420072,0,0
49,42004743,0,0
50,31163834,0,0
51,39906789,0,0
52,23883058,0,0
53,31757669,0,0
54,40030723,0,0
55,56374560,0,0
56,18393803,0,0
57,16951557,0,0
58,21402859,0,0
59,45032784,0,0
60,31533856,0,0
61,86563399,0,0
62,84400494,0,0
63,90697646,0,0
64,61586154,0,0
65,91351089,0,0
66,64109430,0,0
67,81941913,0,0
68,45060444,1,2
69,93631888,0,0
70,84179693,0,0
71,58959728,0,0
72,35904044,0,0
73,38446830,0,0
74,93291046,0,0
75,36153924,0,0
76,26638070,0,0
77,20873398,0,0
78,44790336,0,0
79,20782210,0,0
80,31550987,0,0
81,64737750,0,0
82,65725091,1,1
83,15346948,0,0
84,77099674,1,1
85,45118925,0,0
86,51346422,0,0
87,84617742,0,0
88,74314302,0,0
89,99975815,0,0
90,39012700,0,0
91,53207175,0,0
92,24922157,0,0
93,48679680,0,0
94,23233241,0,0
95,25619274,0,0
96,20692041,0,0
97,51081523,0,0
98,23004349,0,0
99,18880416,0,0
100,34674033,0,0
101,48224336,0,0
102,80175471,0,0
103,21031762,0,0
104,38216976,0,0
105,60621074,0,0
106,61910610,0,0
107,81976709,0,0
108,85621986,0,0
109,24434127,0,0
110,93262923,0,0
111,17141865,0,0
112,71899253,0,0
113,29421205,1,2
114,79600797,0,0
115,26765785,0,0
116,96313721,0,0
117,26753778,0,0
118,55196120,0,0
119,68130940,0,0
120,80558593,1,2
121,74674950,0,0
122,70580263,0,0
123,11821692,0,0
124,96209372,0,0
125,64937039,0,0
126,92755930,0,0
127,35635456,0,0
128,97903874,0,0
129,43593085,0,0
130,74373248,0,0
131,58817811,0,0
132,45628499,0,0
133,62076845,0,0
134,39651668,0,0
135,23068997,0,0
136,31637686,0,0
137,37990187,0,0
138,93674498,1,2
139,77018821,0,0
140,64436676,0,0
141,49685598,0,0
142,90192383,0,0
143,82376820,0,0
144,56085362,0,0
145,57678184,0,0
146,38160271,0,0
147,77559296,0,0
148,81323616,0,0
149,37823015,0,0
150,60195861,0,0
151,86056440,0,0
152,95321451,0,0
153,17920633,0,0
154,47778214,0,0
155,65263754,0,0
156,72809048,0,0
157,18855810,0,0
158,88172185,1,2
159,62737639,0,0
160,27019469,1,2
161,44236424,0,0
162,47158212,0,0
163,15702793,0,0
164,89285187,0,0
165,31672507,1,2
166,67638155,0,0
167,22837463,0,0
168,96663073,1,2
169,12655844,0,0
170,29307186,1,2
171,76579272,0,0
172,38884515,0,0
173,64399289,0,0
174,20749489,0,0
175,84377233,0,0
176,43910706,0,0
177,84233410,0,0
178,42000388,0,0
179,47230333,0,0
180,41619746,0,0
181,21947549,0,0
182,34486259,0,0
183,33488225,0,0
184,86974950,0,0
185,20086146,0,0
186,84332158,0,0
187,67892084,0,0
188,78519151,0,0
189,58217496,0,0
190,99543389,0,0
191,18751509,0,0
192,55504833,0,0
193,27804838,0,0
194,11552953,1,2
195,93967463,0,0
196,50019352,0,0
197,43554156,0,0
198,43629182,0,0
199,15725988,0,0
200,62468158,0,0
201,32249753,0,0
202,77065947,0,0
203,72814876,0,0
204,60078906,0,0
205,38402906,1,2
206,61621077,1,1
207,78562639,0,0
208,31647407,1,2
209,16361440,1,2
210,68482282,0,0
211,58901496,1,1
212,79106290,0,0
213,55963519,0,0
214,67665109,0,0
215,94180466,0,0
216,46425047,0,0
217,94761060,0,0
218,64615897,0,0
219,19411987,0,0
220,44364681,0,0
221,16072660,0,0
222,80800920,0,0
223,99700259,0,0
224,97677842,0,0
225,18119577,0,0
226,69352552,0,0
227,11429119,0,0
228,14966693,0,0
229,93768457,0,0
230,27509156,0,0
231,73702182,0,0
232,52622571,0,0
233,66805424,0,0
234,42405996,0,0
235,53808001,0,0
236,77844133,0,0
237,54396453,1,1
238,23018838,0,0
239,94120778,0,0
240,22936065,0,0
241,72332634,0,0
242,78329480,1,2
243,52835551,0,0
244,11951769,0,0
245,71311797,0,0
246,81118968,0,0
247,69690316,0,0
248,88005362,1,2
249,71353947,1,2
250,87835400,0,0
251,66097934,1,2
252,38495865,0,0
253,31114217,0,0
254,68348068,0,0
255,24680246,0,0
256,37819838,0,0
257,44226349,0,0
258,85014372,0,0
259,50731542,0,0
260,52309595,0,0
261,84267547,0,0
262,33228862,0,0
263,27057052,0,0
264,38995808,0,0
265,94284663,0,0
266,19753587,0,0
267,62936471,0,0
268,64136349,0,0
269,35378977,0,0
270,40455157,0,0
271,27911011,1,1
272,63266436,0,0
273,37640710,0,0
274,21457763,0,0
275,15757041,0,0
276,46302727,0,0
277,63076919,0,0
278,76248577,0,0
279,60460200,0,0
280,51310106,0,0
281,89126040,0,0
282,49009838,0,0
283,74512102,0,0
284,48671023,0,0
285,50075754,0,0
286,65417279,0,0
287,48122240,0,0
288,92932077,0,0
289,90522864,0,0
290,77848569,0,0
291,67695177,0,0
292,34531648,0,0
293,10095618,0,0
294,27221548,0,0
295,58069090,0,0
296,75224218,0,0
297,54290222,0,0
298,84662193,0,0
299,71393863,0,0
300,46834824,0,0
301,57459831,0,0
302,63763057,0,0
303,36058243,1,2
304,91424655,1,2
305,59033476,0,0
306,24755644,0,0
307,13989993,0,0
308,93396162,0,0
309,74569361,0,0
310,96135032,0,0
311,90766808,0,0
312,94936811,0,0
313,30158717,0,0
314,23086867,0,0
315,83763587,0,0
316,65293447,0,0
317,71132847,0,0
318,33662359,0,0
319,72946583,0,0
320,83640183,0,0
321,16732080,1,2
322,68641672,0,0
323,87706792,0,0
324,11898029,0,0
325,20042301,0,0
326,18864729,0,0
327,36982327,0,0
328,83424564,0,0
329,34151289,1,2
330,29918639,0,0
331,59004486,0,0
332,83354405,1,1
333,96485914,0,0
334,31972601,0,0
335,90461319,0,0
336,59919028,0,0
337,74379329,1,2
338,36442862,0,0
339,88710691,1,2
340,89892784,0,0
341,30233521,0,0
342,20054152,1,2
343,41461069,0,0
344,57428773,0,0
345,64036956,0,0
346,53945501,0,0
347,35803173,0,0
348,16879039,0,0
349,69032801,0,0
350,69372592,0,0
351,27186092,0,0
352,18434266,0,0
353,65638462,0,0
354,41752975,0,0
355,29303074,1,2
356,86422696,0,0
357,83283503,0,0
358,54277066,0,0
359,14260805,0,0
360,50020338,0,0
361,84874885,0,0
362,38525367,0,0
363,31487665,0,0
364,28856741,0,0
365,32036873,1,2
366,67216324,0,0
367,92934334,0,0
368,68074558,0,0
369,41330300,0,0
370,13911106,0,0
371,64295888,0,0
372,46335326,0,0
373,88477170,0,0
374,33048880,0,0
375,29030650,0,0
376,29611764,0,0
377,62077959,0,0
378,39843600,0,0
379,89142080,1,2
380,77138410,0,0
381,95497508,0,0
382,41856087,0,0
383,40748286,1,2
384,53553549,0,0
385,44066991,0,0
386,21803693,0,0
387,65233345,0,0
388,27526268,0,0
389,98727075,0,0
390,56650397,0,0
391,38547346,0,0
392,46998229,0,0
393,92779206,0,0
394,13957951,0,0
395,48639574,0,0
396,94089447,0,0
397,86231025,0,0
398,53786661,1,2
399,32030703,0,0
400,61245312,0,0
401,57823522,0,0
402,44630436,0,0
403,78612304,0,0
404,99249061,0,0
405,47052744,0,0
406,30786304,0,0
407,88902191,0,0
408,17732413,1,2
409,67641747,0,0
410,20698824,0,0
411,35113633,0,0
412,28503631,0,0
413,93635271,0,0
414,77801555,0,0
415,62364742,1,2
416,56207433,0,0
417,24445883,0,0
